Entry	Entry Name	Gene Ontology (cellular component)	Gene Names (primary)
P46060	RAGP1_HUMAN	aggresome [GO:0016235]; axon cytoplasm [GO:1904115]; centriole [GO:0005814]; cytoplasm [GO:0005737]; cytoplasmic periphery of the nuclear pore complex [GO:1990723]; cytosol [GO:0005829]; dendrite [GO:0030425]; kinetochore [GO:0000776]; mitotic spindle [GO:0072686]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nuclear pore cytoplasmic filaments [GO:0044614]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; SUMO ligase complex [GO:0106068]	RANGAP1
P48729	KC1A_HUMAN	beta-catenin destruction complex [GO:0030877]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore [GO:0000776]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; spindle [GO:0005819]	CSNK1A1
P49454	CENPF_HUMAN	axoneme [GO:0005930]; centrosome [GO:0005813]; chromatin [GO:0000785]; chromosome, centromeric region [GO:0000775]; ciliary basal body [GO:0036064]; ciliary transition fiber [GO:0097539]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore [GO:0000776]; midbody [GO:0030496]; nuclear envelope [GO:0005635]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; outer kinetochore [GO:0000940]; perinuclear region of cytoplasm [GO:0048471]; pronucleus [GO:0045120]; spindle [GO:0005819]; spindle pole [GO:0000922]	CENPF
P50748	KNTC1_HUMAN	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore microtubule [GO:0005828]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; RZZ complex [GO:1990423]; spindle pole [GO:0000922]	KNTC1
P50749	RASF2_HUMAN	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; kinetochore [GO:0000776]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]	RASSF2
P51808	DYLT3_HUMAN	cytoplasm [GO:0005737]; cytoplasmic dynein complex [GO:0005868]; kinetochore [GO:0000776]; mitotic spindle astral microtubule [GO:0061673]; nucleus [GO:0005634]	DYNLT3
P51955	NEK2_HUMAN	centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; condensed nuclear chromosome [GO:0000794]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; intercellular bridge [GO:0045171]; kinetochore [GO:0000776]; microtubule [GO:0005874]; midbody [GO:0030496]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; spindle pole [GO:0000922]	NEK2
P53350	PLK1_HUMAN	centriolar satellite [GO:0034451]; centriole [GO:0005814]; centrosome [GO:0005813]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore [GO:0000776]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; mitotic spindle pole [GO:0097431]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; outer kinetochore [GO:0000940]; spindle [GO:0005819]; spindle midzone [GO:0051233]; spindle pole [GO:0000922]; synaptonemal complex [GO:0000795]	PLK1
P57740	NU107_HUMAN	cytosol [GO:0005829]; kinetochore [GO:0000776]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear periphery [GO:0034399]; nuclear pore [GO:0005643]; nuclear pore outer ring [GO:0031080]	NUP107
Q00613	HSF1_HUMAN	centrosome [GO:0005813]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; euchromatin [GO:0000791]; heterochromatin [GO:0000792]; kinetochore [GO:0000776]; mitotic spindle pole [GO:0097431]; nuclear stress granule [GO:0097165]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; PML body [GO:0016605]; pronucleus [GO:0045120]; protein folding chaperone complex [GO:0101031]; ribonucleoprotein complex [GO:1990904]	HSF1
Q00839	HNRPU_HUMAN	catalytic step 2 spliceosome [GO:0071013]; cell surface [GO:0009986]; centrosome [GO:0005813]; CRD-mediated mRNA stability complex [GO:0070937]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; dendrite [GO:0030425]; inactive sex chromosome [GO:0098577]; kinetochore [GO:0000776]; membrane [GO:0016020]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; mitotic spindle microtubule [GO:1990498]; mitotic spindle midzone [GO:1990023]; nuclear chromosome [GO:0000228]; nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; ribonucleoprotein complex [GO:1990904]; spindle pole [GO:0000922]; telomerase holoenzyme complex [GO:0005697]	HNRNPU
Q02224	CENPE_HUMAN	chromosome [GO:0005694]; chromosome, centromeric region [GO:0000775]; condensed chromosome, centromeric region [GO:0000779]; cytosol [GO:0005829]; intercellular bridge [GO:0045171]; kinetochore [GO:0000776]; kinetochore microtubule [GO:0005828]; membrane [GO:0016020]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; mitotic spindle midzone [GO:1990023]; nucleus [GO:0005634]; spindle midzone [GO:0051233]	CENPE
