Entry	Entry Name	Gene Ontology (cellular component)	Gene Names (primary)
Q9BW27	NUP85_HUMAN	actin cytoskeleton [GO:0015629]; ciliary basal body [GO:0036064]; cytosol [GO:0005829]; kinetochore [GO:0000776]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nuclear pore outer ring [GO:0031080]; nucleoplasm [GO:0005654]; spindle [GO:0005819]	NUP85
Q9BZD4	NUF2_HUMAN	cytosol [GO:0005829]; kinetochore [GO:0000776]; membrane [GO:0016020]; Ndc80 complex [GO:0031262]; nucleoplasm [GO:0005654]; outer kinetochore [GO:0000940]	NUF2
Q9GZM8	NDEL1_HUMAN	axon cytoplasm [GO:1904115]; axon hillock [GO:0043203]; cell leading edge [GO:0031252]; centrosome [GO:0005813]; cytosol [GO:0005829]; kinesin complex [GO:0005871]; kinetochore [GO:0000776]; microtubule [GO:0005874]; neurofilament cytoskeleton [GO:0060053]; spindle [GO:0005819]; synaptic vesicle [GO:0008021]	NDEL1
Q9H081	MIS12_HUMAN	cytosol [GO:0005829]; kinetochore [GO:0000776]; MIS12/MIND type complex [GO:0000444]; nucleus [GO:0005634]; outer kinetochore [GO:0000940]; spindle pole [GO:0000922]	MIS12
Q9H211	CDT1_HUMAN	kinetochore [GO:0000776]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	CDT1
Q9H3R5	CENPH_HUMAN	chromosome [GO:0005694]; cytosol [GO:0005829]; inner kinetochore [GO:0000939]; kinetochore [GO:0000776]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	CENPH
Q9H410	DSN1_HUMAN	azurophil granule lumen [GO:0035578]; cytosol [GO:0005829]; extracellular region [GO:0005576]; fibrillar center [GO:0001650]; kinetochore [GO:0000776]; MIS12/MIND type complex [GO:0000444]; nuclear body [GO:0016604]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; outer kinetochore [GO:0000940]; spindle pole [GO:0000922]	DSN1
Q9H900	ZWILC_HUMAN	cytosol [GO:0005829]; kinetochore [GO:0000776]; kinetochore microtubule [GO:0005828]; RZZ complex [GO:1990423]	ZWILCH
Q9HAF1	EAF6_HUMAN	histone acetyltransferase complex [GO:0000123]; kinetochore [GO:0000776]; MOZ/MORF histone acetyltransferase complex [GO:0070776]; NuA4 histone acetyltransferase complex [GO:0035267]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleosome [GO:0000786]; nucleus [GO:0005634]	MEAF6
Q9HBM1	SPC25_HUMAN	cytosol [GO:0005829]; kinetochore [GO:0000776]; Ndc80 complex [GO:0031262]; nucleus [GO:0005634]; outer kinetochore [GO:0000940]	SPC25
Q9NQS7	INCE_HUMAN	central element [GO:0000801]; chromocenter [GO:0010369]; chromosome passenger complex [GO:0032133]; chromosome, centromeric region [GO:0000775]; cytosol [GO:0005829]; kinetochore [GO:0000776]; lateral element [GO:0000800]; meiotic spindle midzone [GO:1990385]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; pericentric heterochromatin [GO:0005721]; protein-containing complex [GO:0032991]; spindle [GO:0005819]	INCENP
Q9NSG2	FIRRM_HUMAN	chromosome, centromeric region [GO:0000775]; cytosol [GO:0005829]; kinetochore [GO:0000776]; midbody [GO:0030496]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle midzone [GO:0051233]	FIRRM
Q9NSP4	CENPM_HUMAN	cytosol [GO:0005829]; inner kinetochore [GO:0000939]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	CENPM
Q9NVF7	FBX28_HUMAN	kinetochore [GO:0000776]	FBXO28
Q9NXR1	NDE1_HUMAN	centrosome [GO:0005813]; cleavage furrow [GO:0032154]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; kinesin complex [GO:0005871]; kinetochore [GO:0000776]; membrane [GO:0016020]; microtubule [GO:0005874]; spindle pole centrosome [GO:0031616]; synapse [GO:0045202]	NDE1
Q9UEE9	CFDP1_HUMAN	kinetochore [GO:0000776]; Swr1 complex [GO:0000812]	CFDP1
Q9UFC0	LRWD1_HUMAN	centrosome [GO:0005813]; chromosome, telomeric region [GO:0000781]; kinetochore [GO:0000776]; nuclear origin of replication recognition complex [GO:0005664]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; pericentric heterochromatin [GO:0005721]	LRWD1
Q9Y448	SKAP_HUMAN	centriolar satellite [GO:0034451]; kinetochore [GO:0000776]; microtubule organizing center [GO:0005815]; microtubule plus-end [GO:0035371]; mitotic spindle [GO:0072686]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; spindle pole [GO:0000922]	KNSTRN
Q9Y6D9	MD1L1_HUMAN	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore [GO:0000776]; MAD1 complex [GO:1990706]; mitotic spindle [GO:0072686]; mitotic spindle assembly checkpoint MAD1-MAD2 complex [GO:1990728]; nuclear envelope [GO:0005635]; nuclear pore nuclear basket [GO:0044615]; nucleus [GO:0005634]; spindle [GO:0005819]; spindle pole [GO:0000922]	MAD1L1
Q9Y6G9	DC1L1_HUMAN	centrosome [GO:0005813]; cytoplasmic dynein complex [GO:0005868]; cytosol [GO:0005829]; endocytic vesicle membrane [GO:0030666]; ficolin-1-rich granule membrane [GO:0101003]; kinetochore [GO:0000776]; membrane [GO:0016020]; microtubule [GO:0005874]; plasma membrane [GO:0005886]; recycling endosome membrane [GO:0055038]; secretory granule membrane [GO:0030667]; spindle pole [GO:0000922]	DYNC1LI1
Q8N954	GPT11_HUMAN	kinetochore [GO:0000776]	GPATCH11
A0A087WXM9	MEIKN_HUMAN	condensed chromosome, centromeric region [GO:0000779]; kinetochore [GO:0000776]	MEIKIN
Q8IYS8	BD1L2_HUMAN	centrosome [GO:0005813]; kinetochore [GO:0000776]	BOD1L2
