Gene
MOSPD2
CLCC1
PRDX4
FNDC3A
MANF
DGAT1
UBXN4
ITFG2
RPN2
RRBP1
ADAMTS10
ATP2A1
NSDHL
EMD
PCNXL2
PDZK1
DERL1
CYB5R3
FDFT1
SEC61A1
VIMP
DNAJB12
TMX1
DNAH14
LPCAT1
EBPL
CISD2
CDS2
SCD
FXYD5
CHM
FNDC3B
LAMC1
RCN2
TMEM214
LRRC59
GBP5
IER3IP1
RTN4
PREB
PGRMC1
SEC61B
CYB5B
DNAJC3
CALU
CANX
C20ORF196
RTN3
VAPA
NOMO1
DDOST
SLMAP
SPTLC1
PRR11
EYS
INF2
ASPH
SLC16A14
PDIA4
SYVN1
PTDSS1
P4HA1
PFKM
GDAP2
MTDH
RCN1
STC2
PPM1D
FKBP8
CLPTM1L
MXRA7
P4HA2
CERS2
PDIA3
HSP90B1
PDZD8
DNAJC1
SSR1
MCM3AP
DNAJB11
PRKCSH
VRK2
ERLIN1
ARL6IP5
LPCAT2
EBP
MPDU1
HDLBP
SLC39A14
COL25A1
MAP2K3
BCAP31
CLGN
MGST1
RPN1
SEMA4D
CCDC47
GNPTG
BAZ1A
MESDC2
STIM1
KCTD20
KTN1
CES1
PTPN1
LRPAP1
DERL2
SOAT1
FKBP7
KIAA1467
TECR
PDIA6
ASTE1
VAPB
UFL1
CYP51A1
APOL2
SEC62
