Entry
A4D0S4
A6NMY6
A6NMZ7
A8TX70
O00468
O00533
O00744
O00755
O14904
O14905
O15072
O15230
O43155
O43405
O60844
O60882
O60938
O75173
O75339
O75443
O75718
O75829
O94769
O95450
O95833
O95967
O96014
P01009
P01137
P02452
P02458
P02461
P02462
P02649
P02751
P02760
P03956
P04275
P04628
P05997
P06858
P07355
P07585
P07942
P07996
P08123
P08253
P08254
P08572
P09237
P09238
P09382
P09486
P09544
P10600
P10745
P11047
P12107
P12109
P12110
P12111
P12644
P13497
P13611
P13942
P14543
P14780
P15502
P15692
P16112
P20774
P20849
P20908
P21754
P21810
P21941
P21980
P22105
P22894
P23142
P24043
P24347
P24821
P25067
P25391
P25940
P27658
P27797
P29279
P29400
P35247
P35443
P35555
P35556
P35625
P39059
P39060
P39900
P41221
P45452
P49747
P51512
P51884
P51888
P53420
P55001
P55083
P55268
P56703
P56704
P56705
P56706
P58397
P59510
P60852
P61812
P78509
P82987
P98095
P98160
Q01955
Q02388
Q03167
Q03692
Q05707
Q05996
Q06828
Q07092
Q07654
Q08380
Q08397
Q08629
Q12805
Q12836
Q13316
Q13361
Q13751
Q13753
Q14031
Q14050
Q14055
Q14112
Q14118
Q14515
Q14766
Q14767
Q14993
Q15063
Q15582
Q16363
Q16610
Q16787
Q17R60
Q17RW2
Q2TAL6
Q2UY09
Q32P28
Q5H8C1
Q5K4E3
Q5T1H1
Q63HQ2
Q66K79
Q6NUI6
Q6PCB0
Q6UX34
Q6UXI9
Q6UY14
Q6ZMI3
Q6ZMM2
Q6ZMP0
Q75N90
Q7RTW8
Q7Z5L7
Q8IUX8
Q8IWL1
Q8IWL2
Q8IZC6
Q8N2S1
Q8N4T0
Q8N6G6
Q8TE56
Q8TE57
Q8TE58
Q8TE59
Q8TE60
Q8TER0
Q8WWQ2
Q8WXS8
Q92563
Q92626
Q92752
Q93097
Q93098
Q96A83
Q96A84
Q96CG8
Q96GW7
Q96P44
Q96RW7
Q99217
Q99542
Q99715
Q99972
Q99983
Q9BQ16
Q9BQB4
Q9BUD6
Q9BXN1
Q9BXX0
Q9BY76
Q9BZV3
Q9GZT5
Q9GZU5
Q9GZV7
Q9H1J5
Q9H1J7
Q9H239
Q9H324
Q9H3U7
Q9H4F8
Q9H8L6
Q9HB63
Q9HCB6
Q9NP70
Q9NPA2
Q9NQ76
Q9NQ79
Q9NRE1
Q9NRM1
Q9NS15
Q9NT22
Q9NZW4
Q9P2N4
Q9UBM4
Q9UBV4
Q9UBX5
Q9UHI8
Q9UJW2
Q9UKP4
Q9UKP5
Q9ULZ9
Q9UMD9
Q9UNA0
Q9UP79
Q9UQP3
Q9Y4K0
Q9Y5R2
Q9Y6C2
Q9Y6F9
Q9Y6N6
O00515
O15335
P10915
Q07507
Q53RD9
Q6PEZ8
Q6UXA7
Q6UXI7
Q6XPR3
Q76M96
Q86UW8
Q8NDA2
Q8NFW1
Q8TCW7
Q96I82
Q96PL2
Q99218
Q99645
A6NHN0
O00634
P0C091
Q3B7J2
Q7Z304
Q8IUL8
Q8IVN8
Q8WVF2
Q96S86
Q9BSG5
